Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes
Tonk Road,The Kitchen 21,"Plot 1, Opposite Airport Runway, Prahlad Colony, Sanganer, Tonk Road, Jaipur",['Casual Dining'],"₹1,000","['North Indian', 'Continental']",3.5,29
Tonk Road,H5 Lounge & Bar,"SB 54 C, Level 2, Tonk Road, Jaipur","['Lounge', 'Bar']","₹1,200","['North Indian', 'Chinese', 'Mexican', 'Italian']",3.4,35
Tonk Road,Ali Fresh Chicken,"10, Kidwai Nagar, Near Bansal Hospital, Imli Wala Phatak, Tonk Road, Jaipur",['Quick Bites'],₹500,['Hyderabadi'],3.2,35
Tonk Road,Teasty Thali,"Plot 11-A, Deepak Colony, Shyopur, Sanganer, Tonk Road, Jaipur",['Quick Bites'],₹150,['North Indian'],3.5,30
Tonk Road,The Pizza House,"3 & 4, Tulsi Nagar, Maruti Nagar, Shoypur Road, Pratap Nagar, Tonk Road, Jaipur",['Quick Bites'],₹350,"['Pizza', 'Fast Food', 'Chinese']",3.4,26
Tonk Road,Masala Zone,"Hotel Gaura's Inn, Main Tonk Phatak, Tonk Road, Jaipur",['Casual Dining'],₹600,"['North Indian', 'Fast Food']",3.4,15
Tonk Road,Sanjay Restaurant - Egg Dee,"G-20, Jaipur Centre, B2 Bye Pass Junction, Chandrakala Colony, Durgapura, Tonk Road, Jaipur",['Quick Bites'],₹300,"['Street Food', 'North Indian']",2.7,22
Tonk Road,The Chicken Corner,"S37, 38, Dwarkapuri, Chak Getor, Pratap Nagar, Tonk Road, Jaipur",['Quick Bites'],₹500,"['North Indian', 'Chinese']",3.5,21
Tonk Road,Emerald Dining,"935, Phase 3rd TNT Motors, Sitapura Industrial Area, Sitapura, Tonk Road, Jaipur",['Casual Dining'],₹500,"['North Indian', 'Chinese']",3.3,21
Tonk Road,Chablon,"Shop 87, Pratap Nagar, Near Glass Factory,  Tonk Road, Jaipur",['Bakery'],₹300,"['Bakery', 'Desserts']",3.2,19
Tonk Road,Khandelwal Dhaba,"Mozi Colony, Sector 8, Pratap Nagar, Tonk Road, Jaipur",['Quick Bites'],₹300,['North Indian'],3.6,31
Tonk Road,Antara - Sky Deck,"The Theme Hotel, Sita Bari, Tonk Road, Jaipur",['Casual Dining'],₹800,"['North Indian', 'Chinese', 'Mughlai']",3.3,20
Tonk Road,English Vinglish,"Opposite Glass Factory,Tonk Road, Jaipur",['Bakery'],₹350,"['Desserts', 'Bakery']",3.4,17
Tonk Road,Jaipuri Zaika,"House 267/145, Near Water Tank, Pratap Nagar, Tonk Road, Jaipur",[],₹450,"['North Indian', 'Chinese', 'Fast Food']",3.1,23
Tonk Road,Hanuman Mishthan Bhandar,"A 26, Bajaj Nagar, Near Gandhi Nagar Railway Station, Tonk Road, Jaipur","['Sweet Shop', 'Quick Bites']",₹150,"['Mithai', 'Street Food']",3.4,30
Tonk Road,House Of Food,"Shop 8, Plot 712, Mahaveer Nagar, Ayappa Mandir, Gopal Pura By Pass, Tonk Road, Jaipur",['Quick Bites'],₹200,"['Fast Food', 'Chinese', 'South Indian']",3.5,24
Tonk Road,Green World Restaurant,"Shop 13 & 14, Near Mahima Panache, Tonk Road, Jaipur",[],₹500,"['North Indian', 'Chinese']",3.3,20
Tonk Road,Desi Tadka,"22/9 G, Sanganer, Pratap Nagar, Sector 22, Tonk Road, Jaipur",[],₹400,"['North Indian', 'Chinese', 'Momos']",3.6,22
Tonk Road,Word With Friends,"32/68, Rhb Pratap Nagar, Jaipur",[],₹200,"['Fast Food', 'Burger', 'Sandwich']",3.3,22
Tonk Road,Foodie Junction,"Haldi Ghati Marg 6, Bus Stand, Pratap Nagar, Near Tonk Road, Jaipur",[],₹300,"['Fast Food', 'Chinese']",3.4,18
Tonk Road,The Bozo Cafe,"100/158, Opposite Janana Hospital, Kumbha Marg, Sector 10, Tonk Road, Jaipur",['Quick Bites'],₹250,"['Fast Food', 'Chinese', 'Beverages']",3.4,17
Tonk Road,Good Food Tiffins,"105/101, Near Rose Academy, Kumbha Marg, Sector 10, Pratap Nagar, Tonk Road, Jaipur",[],₹150,"['Fast Food', 'North Indian']",2.9,33
Tonk Road,Rock N Rolls,"82/133, Chetak Marg, Sector 8, Near D-Mart, Pratap Nagar, Tonk Road, Jaipur",['Quick Bites'],₹300,['Rolls'],3.1,27
