Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes
C Scheme,Kanha,"E 62, Bhagat Singh Marg, C Scheme, Jaipur","['Sweet Shop', 'Quick Bites']",₹500,"['North Indian', 'South Indian', 'Fast Food', 'Chinese', 'Beverages']",4.2,995
C Scheme,Stepout Cafe,"P 14, Sehdev Marg, Ashok Nagar, C Scheme, Jaipur","['Café', 'Casual Dining']",₹800,"['Cafe', 'Italian', 'Lebanese', 'Mexican', 'Continental', 'Pizza', 'Street Food']",4.5,1385
C Scheme,Burger Farm,"3 & 4, Trimurty, V-Jai City Point Building, Ahinsa Circle, Near Vodafone Store, C Scheme, Jaipur",['Quick Bites'],₹400,"['Burger', 'Fast Food', 'Beverages']",4.1,1427
C Scheme,Domino's Pizza,"C 18, Silver Square Mall, Bhagwandas Marg, C Scheme, Jaipur",['Quick Bites'],₹700,"['Pizza', 'Fast Food']",3.3,1258
C Scheme,Thali and More,"C-46 B, Sarojini Marg, Above Punjab National Bank, C Scheme, Jaipur",['Casual Dining'],"₹1,100","['North Indian', 'South Indian', 'Chinese', 'Fast Food']",4.4,2339
C Scheme,Little Italy,"C 11, KK Square, C Scheme, Jaipur",['Casual Dining'],"₹2,400","['Italian', 'Mexican', 'Beverages']",4.2,1055
C Scheme,Tapri Central,"B4 E, 3rd Floor, Surana Jewellers, Opposite Central Park, C Scheme, Jaipur",['Café'],₹800,"['Cafe', 'Fast Food', 'Street Food']",4.7,3120
C Scheme,The Yellow House - The Robot Restaurant,"Silver Square Mall, Near Rajmandir Cinema, C Scheme, Jaipur",['Casual Dining'],₹700,"['North Indian', 'Chinese', 'Italian', 'Mexican']",4.3,916
C Scheme,La Palma Cafe and Lounge Bar,"The Hotel Garden View, Subhash Marg, Near Ahinsa Circle, C Scheme, Jaipur",['Café'],"₹1,400","['Italian', 'European', 'Continental']",4.2,825
C Scheme,On The House,"E 145, Ramesh Marg, Behind Talwalkars, C Scheme, Jaipur","['Casual Dining', 'Café']","₹1,500","['Italian', 'Continental', 'Mexican', 'Cafe']",4.2,1572
C Scheme,Taxi Chick-Inn,"F-143, Azad Marg, Ashok Nagar, C Scheme, Jaipur",['Quick Bites'],₹650,['North Indian'],3.8,1399
C Scheme,Masala Ministry,"Man Upasna Mall, Chomu House, C Scheme, Jaipur",['Casual Dining'],"₹1,100","['North Indian', 'Chinese', 'Fast Food', 'Street Food', 'Desserts', 'Beverages']",4.4,1408
C Scheme,Naturals Ice Cream,"A 5, Ground Floor, Suryavanshi Pearl, Sarder Patel Marg, Near Chomu House Circle, C Scheme, Jaipur",['Dessert Parlor'],₹150,['Ice Cream'],4.4,899
C Scheme,Brown Sugar - Restaurant Cafe Bakery,"Aurum Apartment, Tilak Marg, C Scheme, Jaipur","['Café', 'Quick Bites']",₹600,"['Cafe', 'Italian', 'Fast Food']",4.2,1248
C Scheme,Molly Moo,"D 29, Subhash Marg, C Scheme, Jaipur",['Dessert Parlor'],₹300,"['Desserts', 'Ice Cream']",4.4,853
C Scheme,Chawla's Restaurant,"G 1, Shree Gopal Towers, Krishna Marg, C Scheme, Jaipur",['Casual Dining'],"₹1,200","['North Indian', 'Chinese']",3.9,482
C Scheme,Steam - Rambagh Palace,"Rambagh Palace, Bhawani Singh Road, C Scheme, Jaipur",['Lounge'],"₹2,800","['Italian', 'Lebanese']",4.5,905
C Scheme,Blackout Club & Terrace,"Hotel Golden Oak, 9th Floor, Ahinsa Circle, Landmark Building, C Scheme, Jaipur","['Bar', 'Club']","₹2,200","['North Indian', 'Italian', 'Continental', 'Finger Food']",4.4,2267
C Scheme,Retreat,"C 94, 8th Floor, Fortune Heights, Subhash Marg, C Scheme, Jaipur","['Lounge', 'Casual Dining']","₹1,400","['North Indian', 'Continental', 'Mexican', 'Italian', 'Chinese']",4.2,559
C Scheme,Subway,"F-188 B, Subhash Marg, C Scheme, Jaipur",['Quick Bites'],₹500,"['Fast Food', 'Healthy Food', 'Sandwich', 'Salad']",4.1,649
C Scheme,Social Vibes,"6th Floor, Mall 21, Bhagwandas Road, Opposite Rajmandir Cinema, C Scheme, Jaipur","['Lounge', 'Casual Dining']","₹1,600","['North Indian', 'Continental', 'Chinese']",4.1,525
C Scheme,Oven The Bakery And Cafe,"Ground Floor, Landmark Building, Ahinsa Circle, C Scheme, Jaipur","['Café', 'Bakery']",₹800,"['Cafe', 'Bakery']",3.8,571
C Scheme,Miss Baker's,"Shilmohar Plaza, Opposite Udyog Bhawan, Tilak Marg, C Scheme, Jaipur",['Bakery'],₹150,"['Bakery', 'Desserts']",4.0,517
C Scheme,Mad'Ouk - Magic In Making,"J 26, Subhash Marg, C Scheme, Jaipur",['Café'],"₹1,000","['Cafe', 'North Indian', 'Healthy Food']",4.0,536
C Scheme,Home Café by Mr Beans,"E 141 A, Sardar Patel Marg, C Scheme, Jaipur",['Café'],"₹1,000","['Cafe', 'Continental', 'Fast Food']",4.1,538
C Scheme,V2 Fine Dining Restaurant,"Central Park Gate 4, Vivekanand Marg, Near B5, Opposite Okay Diagnostic, C Scheme, Jaipur",['Casual Dining'],"₹1,000","['North Indian', 'South Indian', 'Fast Food', 'Chinese']",4.0,568
C Scheme,Crazy Coffee,"C 39, Lajpat Marg, Ashok Nagar, C Scheme, Jaipur",['Café'],₹400,"['Cafe', 'Fast Food']",4.5,395
C Scheme,ATOM - Authentic Taste Of Mumbai,"F 177B, Subhash Marg, C Scheme, Jaipur",[],₹300,"['Fast Food', 'Street Food', 'Beverages']",4.0,319
C Scheme,Corner House,"F 31, Azad Marg, Ashok Nagar, C Scheme, Jaipur","['Casual Dining', 'Café']","₹1,200","['North Indian', 'Chinese', 'Italian', 'Beverages', 'Ice Cream']",4.0,371
C Scheme,Pizzitalia,"G-8, J54 C, Sunrise Building, Prithviraj Road, C Scheme, Jaipur",['Quick Bites'],₹500,"['Fast Food', 'Pizza', 'Beverages']",3.2,473
C Scheme,Pizzitalia,"G-8, J54 C, Sunrise Building, Prithviraj Road, C Scheme, Jaipur",['Quick Bites'],₹500,"['Fast Food', 'Pizza', 'Beverages']",3.2,473
C Scheme,Tea Tradition,"D 29-A, Chandra Niwas, Subhash Marg, C Scheme, Jaipur",['Café'],₹450,"['Cafe', 'Fast Food']",4.0,334
C Scheme,The Juice Shop,"J 2, Jamnalal Bajaj Marg, Ashok Nagar, C Scheme, Jaipur","['Beverage Shop', 'Quick Bites']",₹400,"['Juices', 'Beverages', 'Healthy Food', 'Chinese', 'Fast Food']",4.1,299
C Scheme,Aunty's Cafe,"20, Nigam Chat Bazaar, Sarojini Marg, C Scheme, Jaipur",['Quick Bites'],₹500,"['North Indian', 'Chinese', 'South Indian', 'Fast Food', 'Street Food']",2.3,418
C Scheme,LOL,"8th Floor, Ambition Tower, Agrasen Circle, C Scheme, Jaipur",['Casual Dining'],"₹1,200","['Italian', 'North Indian', 'Chinese', 'Mexican']",3.9,298
C Scheme,Jaipur Modern Kitchen,"51, Sardar Patel Marg, Dhuleshwar Garden Crossing, C Scheme, Jaipur",['Casual Dining'],"₹1,600","['Italian', 'Mediterranean']",3.9,269
C Scheme,The Feast,"E92, Ground Floor, Coral Castle, Subhash Marg, C Scheme, Jaipur","['Café', 'Bakery']",₹650,"['Cafe', 'Bakery', 'Italian']",4.0,256
C Scheme,Mix Tape Bistro,"E-141, A /3, Sardar Patel Marg, C Scheme, Jaipur","['Café', 'Casual Dining']",₹800,"['Cafe', 'North Indian', 'Mexican', 'Fast Food']",4.0,295
C Scheme,Sagar Ratna,"J-34, Subhash Marg, Bagadiya Bhawan, C Scheme, Jaipur",['Casual Dining'],₹550,"['South Indian', 'North Indian', 'Chinese']",4.4,332
C Scheme,Blue Tokai Coffee Roasters,"101, 1st Floor, Suryavanshi Pearl, A-5 Chomu House, Sardar Patel Marg, C Scheme, Jaipur",['Café'],₹900,"['Cafe', 'Coffee']",4.2,238
C Scheme,Midtown Restaurant,"C-93, Shubash Marg, Near Ahinsa Cirlce, C Scheme, Jaipur",['Casual Dining'],₹750,"['North Indian', 'Chinese', 'Fast Food']",3.8,344
C Scheme,Brown Bites,"E-143, Ramesh Marg, C Scheme, Jaipur","['Café', 'Bakery']",₹400,"['Cafe', 'Bakery']",3.8,232
C Scheme,Apsara Ice Creams,"Shop 1, Ground Floor, Aurum Building, Tilak Marg, C Scheme, Jaipur",['Dessert Parlor'],₹200,"['Ice Cream', 'Desserts']",4.2,233
C Scheme,Nothing Before Coffee,"Opposite Mahaveer College Gate 2, Mahaveer Marg, C Scheme",['Beverage Shop'],₹400,"['Cafe', 'Fast Food']",4.2,219
C Scheme,Suvarna Mahal - Rambagh Palace,"Rambagh Palace, Bhawani Singh Road, C Scheme, Jaipur",['Fine Dining'],"₹5,000","['North Indian', 'Awadhi', 'Hyderabadi']",4.2,209
C Scheme,Sri Motu Ram Prasadam Original,"Shop 1, Yudhishtir Marg, Near Ashok Nagar Police Station, C Scheme, Jaipur",['Casual Dining'],₹800,"['North Indian', 'South Indian', 'Rajasthani']",4.2,191
C Scheme,Ten Twisters,"4th Floor, The Landmark, Ahinsa Circle, C Scheme, Jaipur",['Casual Dining'],"₹1,800","['North Indian', 'Continental', 'Chinese', 'Asian']",4.1,199
C Scheme,Looters,"F-163, Chaitanya Marg, C Scheme, Jaipur",['Quick Bites'],₹300,"['Fast Food', 'Beverages']",4.1,195
C Scheme,Karim's,"15-A, Parivahan Marg, Near Civil Lines Fatak, C Scheme, Jaipur",['Casual Dining'],₹800,"['Mughlai', 'North Indian', 'Kebab']",3.3,311
C Scheme,Roll Express,"Residency Masjid, Ramesh Marg, C Scheme, Jaipur",[],₹300,['Rolls'],3.6,365
C Scheme,Kota Kachori-Falahaar,"Trimurti Mall, Ahinsa Circle, C Scheme, Jaipur",['Quick Bites'],₹150,"['Street Food', 'Mithai']",3.9,344
C Scheme,Big Slick,"C-81 A, Azad Marg, C Scheme, Jaipur",['Quick Bites'],₹600,"['Burger', 'Fast Food']",4.0,244
C Scheme,Jaipur Hot Breads,"C 76, Sarojini Marg, C Scheme, Jaipur",['Bakery'],₹100,['Bakery'],3.9,210
C Scheme,Sammy Singh's Rooftop,"Hotel Garden View, Subhash Marg, C Scheme, Jaipur",['Lounge'],"₹1,700","['North Indian', 'Chinese', 'Fast Food', 'Italian']",3.8,116
C Scheme,The Rajput Room - Rambagh Palace,"Rambagh Palace, Bhawani Singh Road, C Scheme, Jaipur",['Fine Dining'],"₹4,000","['North Indian', 'Continental', 'Asian']",4.2,159
C Scheme,Olive,"T 4, Ramesh Marg, Ashok Nagar, C Scheme, Jaipur",['Casual Dining'],"₹1,000","['Italian', 'Mexican', 'North Indian']",3.9,114
C Scheme,Tan-Sukh,"E-62, Bhagat Singh Marg, C Scheme, Jaipur",['Casual Dining'],"₹1,100","['North Indian', 'Rajasthani', 'Chinese']",3.8,165
C Scheme,Dosaka - Taste of South,"Shop 5, Opposite Mahaveer School, Gate 2, Mahavir Marg, C Scheme, Jaipur",['Casual Dining'],₹500,"['South Indian', 'Beverages']",4.1,138
C Scheme,Mum's Cafe,"C93, Subhash Nagar, Near Ahinsa Circle, C Scheme, Jaipur",['Café'],₹750,"['Cafe', 'Italian', 'Continental']",3.8,176
C Scheme,House Of Beans,"C 72, Nandan Apartment, Sarojini Marg, C Scheme, Jaipur",['Café'],₹550,"['Cafe', 'Fast Food', 'Beverages']",4.2,108
C Scheme,Waffle Mania,"E 176, Ramesh Marg, C Scheme, Jaipur","['Dessert Parlor', 'Beverage Shop']",₹300,"['Desserts', 'Beverages']",3.7,174
C Scheme,Papaya,"F 74, Salasar Enclave, Bagadia Bhawan, Subhash Marg, C Scheme, Jaipur",['Quick Bites'],₹200,"['Fast Food', 'Beverages']",3.8,227
C Scheme,Mohan's Vegetarian Restaurant,"Opposite Udyog Bhawan, Tilak Marg, C Scheme, Jaipur",['Casual Dining'],₹350,"['North Indian', 'Fast Food']",3.7,196
C Scheme,La Pino'z Pizza,"Unit G 1, The Landmark Appartment, Ahinsa Circle, C Scheme, Jaipur",['Quick Bites'],₹800,"['Pizza', 'Fast Food']",3.9,123
C Scheme,Chaisa,"9/10, Opposite Mahaveer College, Mahaveer Marg C Scheme, Jaipur","['Café', 'Quick Bites']",₹500,"['Cafe', 'Fast Food', 'Italian', 'Beverages']",3.5,102
C Scheme,The Rock,"A 2, Sardar Patel Marg, C Scheme, Jaipur","['Casual Dining', 'Bar']","₹1,100","['North Indian', 'Fast Food', 'Chinese', 'Beverages']",4.0,108
C Scheme,Ice Spice,"Near Ahinsa Circle, Ashok Marg, C Scheme, Jaipur",['Casual Dining'],₹550,"['North Indian', 'Chinese', 'South Indian']",4.2,195
C Scheme,Pandit Pav Bhaji,"Shop 4, Sarojni Marg, Statue Circle, C Scheme, Jaipur",['Quick Bites'],₹250,"['Street Food', 'Fast Food', 'North Indian']",3.6,180
C Scheme,On The Way,"5th Floor, Hotel While Lily, Diggy Palace Road, C Scheme, Jaipur",['Casual Dining'],₹700,"['North Indian', 'Italian', 'Continental', 'Chinese', 'Beverages']",3.7,95
C Scheme,House Of Bunkins-HOBS,"A/4B, 2nd Floor, Chittora House, Opposite Udyog Bhawan, Tilak Marg, C Scheme, Jaipur",['Café'],₹550,"['Cafe', 'Fast Food']",3.6,124
C Scheme,My Froyoland,"G-5A, City Mall, Bhagwan Das Road, C Scheme, Jaipur",['Dessert Parlor'],₹200,"['Frozen Yogurt', 'Desserts']",4.0,105
C Scheme,Fabcafe By Fabindia,"GT Galleria, Ashok Road, Ashok Nagar, C Scheme, Jaipur",['Café'],"₹1,200","['Healthy Food', 'North Indian', 'Desserts', 'Beverages']",3.8,64
C Scheme,The Polo Bar - Rambagh Palace,"Rambagh Palace, Bhawani Singh Road, C Scheme, Jaipur",['Bar'],"₹4,100",['Finger Food'],3.9,116
C Scheme,Keventers - The Original Milkshake,"Plot 25, Yudhister Marg, Near Deer Park, C Scheme, Jaipur","['Beverage Shop', 'Dessert Parlor']",₹400,"['Beverages', 'Desserts', 'Ice Cream']",3.9,123
C Scheme,Bharat Bits N Bites,"J 4, Ramesh Marg, Subhash Marg Road, C Scheme, Jaipur",['Quick Bites'],₹350,"['Chinese', 'Street Food', 'Fast Food']",3.9,118
C Scheme,Gangaur Sweets,"J32, Subhash Marg, Near Bagadia Bhawan, C Scheme, Jaipur",['Sweet Shop'],₹100,['Mithai'],3.7,115
C Scheme,Jaipur Down Town,"Plot O-10, Oyo Townhouse, Ashok Marg, Opposite Green House, Ahinsa Circle, C Scheme, Jaipur",['Casual Dining'],₹700,"['North Indian', 'Chinese', 'Fast Food']",3.8,52
C Scheme,Mama Fu,"A-5, Ground Floor, Suryavanshi Pearl, Chomu House, Sardar Patal Marg, C Scheme, Jaipur",['Casual Dining'],"₹1,000","['Chinese', 'Asian', 'Sushi']",4.2,73
C Scheme,Urban Choolah,"Shop 6, Mahaveer Marg, Opposite Mahaveer College, C Scheme, Jaipur",['Quick Bites'],₹450,"['Chinese', 'North Indian']",3.9,112
C Scheme,Get Desserted,"F 31, Azad Marg, Ashok Nagar, C Scheme, Jaipur",['Dessert Parlor'],₹350,"['Desserts', 'Ice Cream', 'Beverages']",3.9,65
C Scheme,Liquido,"F-55, Jamnalal Bajaj Marg, C Scheme, Jaipur",[],₹500,"['Healthy Food', 'Beverages']",3.8,87
C Scheme,Pasta Cucina,"D 29, Subhash Marg, Panch Batti, Ashok Nagar, C Scheme, Jaipur",['Quick Bites'],₹500,"['Italian', 'Fast Food', 'Beverages']",4.3,97
C Scheme,Bistro Quaint,"A2, Hermosa Design Studio, Jamnalal Bajaj Marg, C Scheme, Jaipur",['Café'],"₹1,200","['Cafe', 'Continental']",3.8,81
C Scheme,Blitz Krieg,"5th Floor, Axis Mall, Bhagwan Das Road, C Scheme, Jaipur","['Casual Dining', 'Pub']","₹1,600","['Continental', 'North Indian', 'Fast Food', 'American']",3.6,108
C Scheme,Pan N Grill Cafe,"Trimurti Mall, Ahinsa Circle, C Scheme, Jaipur",['Quick Bites'],₹200,"['Fast Food', 'Street Food', 'Sandwich', 'Beverages']",3.6,118
C Scheme,Fruits On Desk,"F-82, Chaitanya Marg, Ashok Nagar, C Scheme, Jaipur",[],₹150,['Healthy Food'],3.8,107
C Scheme,The King's Breakfast & Brunch,Delivery Only,[],₹300,"['North Indian', 'Continental', 'Chinese']",3.3,121
C Scheme,Ombre,"Quarter 2, Sardar Patel Marg, Ashok Nagar, C Scheme, Jaipur",['Bakery'],₹400,"['Bakery', 'Desserts']",4.1,46
C Scheme,Sandwiches And Shakes,"C-20, Bhagwan Das Road, Near Rajmandir Cinema, C Scheme, Jaipur",[],₹150,['Fast Food'],3.6,94
C Scheme,Baskin Robbins,"Ground Floor, Crystal Palm Mall, Sardar Patel Road, Bais Godam, Jaipur",['Dessert Parlor'],₹300,"['Ice Cream', 'Desserts', 'Beverages']",3.7,72
C Scheme,Masquerade By Mystery Rooms,"J 50-B, Sarojini Marg, C Scheme, Jaipur",['Casual Dining'],"₹1,000","['Continental', 'Modern Indian']",4.2,36
C Scheme,Mamu's Cafe,"Shop 5, Mahaveer Marg, Opposite Mahaveer School, C Scheme, Jaipur",['Quick Bites'],₹350,"['Chinese', 'Fast Food', 'Beverages']",3.7,78
C Scheme,Eggfie,"P 14, Sehdev Marg, C Scheme, Jaipur",['Quick Bites'],₹200,"['Italian', 'Fast Food', 'Beverages']",4.0,52
C Scheme,Daily Nutrition Diet - DND,"F 31, Azad Marg, C Scheme, Jaipur",[],₹400,"['Healthy Food', 'Beverages']",3.7,63
C Scheme,Kitchen Zayka,"B 16, Bhawani Singh Road, C Scheme, Jaipur",['Casual Dining'],₹600,"['North Indian', 'Rajasthani', 'Chinese']",3.7,68
C Scheme,Williams FnB,"Shop 3, Near Ahinsa Circle, Subhash Marg, C Scheme, Jaipur",[],₹400,"['Fast Food', 'Pizza', 'Beverages']",3.6,95
C Scheme,The Firangi Chicken,"D-8, Shiv Heera Path, Mission Compound, Chomu House Circle, C Scheme, Jaipur",['Quick Bites'],₹600,"['North Indian', 'Fast Food', 'Chinese']",3.8,88
C Scheme,Tahir Bhai Biryani Wale,"A-410, Azad Marg, C Scheme, Jaipur",[],₹250,"['Biryani', 'North Indian']",3.7,78
C Scheme,Rasoda,"21, Sangram Colony, C Scheme, Jaipur",['Quick Bites'],₹300,['North Indian'],3.8,60
C Scheme,Samosas N More,"Vivekanand Marg, C Scheme, Jaipur",[],₹300,"['Fast Food', 'North Indian']",3.4,71
C Scheme,Kiara's Kitchen,"G1, Ground Floor, Vijay City Point, Ahinsa Circle, C Scheme, Jaipur",['Quick Bites'],₹450,"['North Indian', 'Fast Food', 'Beverages']",3.5,66
C Scheme,Desisthan,"F-6 A, Ramesh Marg, Near Style & Scissors, C Scheme, Jaipur",['Quick Bites'],₹250,"['North Indian', 'Rajasthani', 'Beverages']",3.4,50
C Scheme,Cafe 11:11,"D-81, 4th Floor, Times Flute Boutique Hotel, Shiv Hira Path, Chomu House, C Scheme, Jaipur",['Casual Dining'],₹700,"['North Indian', 'Chinese', 'South Indian', 'Fast Food']",3.4,40
C Scheme,InstaFit- The Fitness Kitchen,"Kleanfit Iconic, 3rd Floor, Crystal Palm, Near 22 Godam Circle, C Scheme, Jaipur",['Quick Bites'],₹600,"['Healthy Food', 'Continental', 'Seafood']",3.7,42
C Scheme,Delta Chat & Food,"Ground Floor, Mall 21, Opposite Raj Mandir Cinema, C Scheme, Jaipur",['Quick Bites'],₹400,"['North Indian', 'Fast Food', 'Beverages']",3.5,45
C Scheme,Delta Chat & Food,"Ground Floor, Mall 21, Opposite Raj Mandir Cinema, C Scheme, Jaipur",['Quick Bites'],₹400,"['North Indian', 'Fast Food', 'Beverages']",3.5,45
C Scheme,Pandit Pavbhaji,"C 20, Bhagwant Das Road, C Scheme, Jaipur",['Quick Bites'],₹200,"['South Indian', 'Chinese', 'Fast Food', 'Street Food']",3.4,62
C Scheme,The Colonnade - SUJÁN Rajmahal Palace Hotel,"SUJÁN Rajmahal Palace Hotel, Sardar Patel Marg, C Scheme, Jaipur",['Fine Dining'],"₹3,000","['Continental', 'Rajasthani']",3.7,26
C Scheme,The Socialite Express,"D-52, Unit 2, Trimurty V-Jai City Point, Ashok Marg Ahinsa Circle, C Scheme, Jaipur",['Quick Bites'],₹450,"['North Indian', 'Fast Food', 'Chinese', 'Beverages']",3.9,36
C Scheme,Quyu's Taproom,"J 33, 1st Floor, Bagadiya Bhawan, Subhash Marg, C Scheme, Jaipur",['Casual Dining'],₹800,"['North Indian', 'Italian', 'Chinese', 'Mexican', 'Continental', 'Fast Food']",NEW,No-Votes
C Scheme,Biryani & Curries,"Shop S10, Sardar Patel Marg, Opposite Government Press, C Scheme, Jaipur",[],₹600,"['North Indian', 'Rolls', 'Biryani']",3.8,29
C Scheme,Bhookh Adda,"Opposite Dr. Roy Chowdhury Hospital, Bhawani Singh Road, C Scheme, Jaipur",['Quick Bites'],₹500,"['North Indian', 'Chinese', 'Fast Food', 'Beverages']",3.1,27
C Scheme,Fifty One Shades Of Pink - SUJÁN Rajmahal Palace Hotel,"SUJÁN Rajmahal Palace Hotel, Sardar Patel Marg, C Scheme, Jaipur",['Fine Dining'],"₹3,000","['Continental', 'Rajasthani']",3.6,28
C Scheme,Indiana,"J2/ 34, Mahaveer Marg, C Scheme, Jaipur",['Casual Dining'],₹800,"['North Indian', 'Mughlai']",3.3,33
C Scheme,Sprinkles,Delivery Only,['Bakery'],₹200,['Bakery'],3.4,31
C Scheme,Juugad Cafe,"B-7A, Durgadas Colony, Subhash Marg, C Scheme, Jaipur",['Casual Dining'],₹600,"['North Indian', 'Chinese', 'Beverages']",3.4,23
C Scheme,Flavorsome Feasts,"Plot 8, Ground Floor, Golden Empire Apartments, Mahavir Marg, C Scheme, Jaipur",[],₹600,"['Italian', 'Chinese', 'Fast Food', 'North Indian', 'Beverages']",3.7,39
C Scheme,Love Over Coffee,"F 5, Jamnalal Bajaj Marg, Ashok Naga, C Scheme, Jaipur",['Café'],₹400,"['Cafe', 'Italian']",NEW,No-Votes
C Scheme,Kings Kulfi,"Ground Floor, Crystal Palm Mall, Sardar Patel Road, Bais Godam, Jaipur",['Dessert Parlor'],₹200,['Ice Cream'],3.6,34
C Scheme,Kanha Food Court,"Shop 5, 6, Near S.M.S Hospital, C Scheme, Jaipur",['Quick Bites'],₹400,"['North Indian', 'Fast Food', 'Chinese', 'South Indian', 'Beverages']",3.6,28
C Scheme,Jaipur Wok,"Shop 8, Opposite Mahaveer College Of Commerce, Sangram Colony, Mahaveer Marg, C Scheme, Jaipur",['Quick Bites'],₹400,"['Chinese', 'Fast Food', 'Beverages']",3.8,19
C Scheme,Thali-N-Platters,"D 28, Subhash Marg, C Scheme, Jaipur",[],₹300,['North Indian'],3.9,34
C Scheme,The Crust,"13 & 14, Near Bagadia Bhawan, C Scheme, Jaipur","['Bakery', 'Quick Bites']",₹200,"['Bakery', 'Fast Food']",3.4,30
C Scheme,Kanha Bakeology,"E 62, Basement Floor, Bhagatsingh Marg, C Scheme, Jaipur",['Bakery'],₹450,['Bakery'],3.6,34
C Scheme,Curious Life Coffee Roasters- Deer Park,"P 25, Yudhister Marg, Opposite Deer Park, C Scheme, Jaipur",['Café'],₹500,['Cafe'],3.7,22
C Scheme,Hungry-Head,"Shop 7, Gate 2, Mahaveer Marg, Opposite Mahaveer College, C Scheme, Jaipur",['Quick Bites'],₹300,"['Fast Food', 'Chinese', 'Momos']",3.6,24
C Scheme,Shree Nath Pav Bhaji,"10, Sarojini Marg, C Scheme, Jaipur",['Quick Bites'],₹300,"['South Indian', 'Street Food', 'Chinese', 'Fast Food']",3.7,34
C Scheme,Kalkatta Chat Bhandar,"Gate 5, Opposite Van Bhavan And Krishi Bhawan Secretariat, C Scheme, Jaipur",['Quick Bites'],₹250,['Street Food'],3.7,29
C Scheme,Jaipur Grill Restaurant,"F-10, Jamna Lal Bajaj Marg, C Scheme, Jaipur",['Quick Bites'],₹500,"['North Indian', 'Chinese']",3.3,30
C Scheme,Maria's cafe,"F-177B, Shubhash Marg, C Scheme, Jaipur",['Quick Bites'],₹300,"['Fast Food', 'North Indian']",3.4,32
C Scheme,Wishk,"J 33, 1st Floor, Bagadiya Bhawan, Subhash Marg, C Scheme, Jaipur",[],₹500,['Bakery'],3.3,21
C Scheme,Gupta's Food Point,"4, Near Bagadia Bhawan, Subhash Marg, C Scheme, Jaipur",[],₹300,['North Indian'],3.4,33
C Scheme,Paan Cafè,"Opposite Government Press, Sardar Patel Marg, C Scheme, Jaipur",['Paan Shop'],₹100,['Paan'],2.8,35
C Scheme,The Refuel,"S 39, Suhash Marg, Durgadas Colony, Ashok Nagar, Near Rajasthan Nursing Counsil, C Scheme, Jaipur",['Casual Dining'],₹500,"['North Indian', 'South Indian', 'Chinese', 'Italian']",3.3,23
C Scheme,Tasty Bites,"33, Mission Compound, C Scheme, Jaipur","['Bakery', 'Quick Bites']",₹250,"['Bakery', 'Fast Food', 'Chinese']",3.4,29
C Scheme,Tasty Bites,"33, Mission Compound, C Scheme, Jaipur","['Bakery', 'Quick Bites']",₹250,"['Bakery', 'Fast Food', 'Chinese']",3.4,29
C Scheme,Jaipur Dairy,"Near Statue Circle, C Scheme, Jaipur",[],₹200,['Fast Food'],3.4,22
C Scheme,Chick Blast,"Plot 19-C, Survey G-4, Shri Gopal Tower, Krishna Marg, C Scheme, Jaipur",['Quick Bites'],₹350,['American'],NEW,No-Votes
C Scheme,House of Dawat,"F 45, Jamnalal Bajaj Marg, C Scheme, Jaipur",[],₹400,"['North Indian', 'Rajasthani']",3.4,28
C Scheme,Ankurit Kachhori Wala,"D 38, Ashok Marg, Panch Batti, Ashok Nagar, C Scheme, Jaipur",[],₹100,['Street Food'],3.4,29
C Scheme,Charis Cafe,"2nd Floor, 18 Mission Compound, Near Yamaha Motors, Panch Batti, C Scheme, Jaipur",['Café'],₹350,"['Cafe', 'South Indian']",3.2,9
C Scheme,Uncle Coffee,"Near Income Tax Office, Statchu Circle, C Scheme, Jaipur",['Beverage Shop'],₹200,"['Beverages', 'Fast Food']",3.6,26
C Scheme,Kitchen Daddy Restro,"D 49, Chomu House, C Scheme, Jaipur",[],₹350,['North Indian'],3.5,24
C Scheme,Chai Paani,"7, Vijay City Point, Ahinsa Circle, Ashok Marg, C Scheme, Jaipur",[],₹200,"['Street Food', 'Fast Food', 'Chinese', 'Beverages']",3.5,23
C Scheme,Saini's Kachoriwala,"Subhash Marg Corner, Bagadiya Bhawan, C Scheme, Jaipur",[],₹100,['Street Food'],3.5,23
C Scheme,Big Daddy's,"C 84, Ground Floor, Prithviraj Road, C Scheme, Jaipur",['Quick Bites'],₹500,"['Fast Food', 'Beverages']",3.4,26
C Scheme,Khansama The Traditional Kitchen,"P 14, Sehdev Marg, C Scheme, Jaipur",['Quick Bites'],₹400,"['Rajasthani', 'North Indian']",3.4,16
C Scheme,The Crunch,"Plot F-1-A, Ramesh Marg, Opposite Masjid, C Scheme, Jaipur",['Quick Bites'],₹400,"['Fast Food', 'Beverages']",NEW,No-Votes
C Scheme,Pandit Ji Ki Famous Pav Bhaji And Bhelpuri,"Shop 4, Sarojni Marg, Statue Circle, C Scheme, Jaipur",['Quick Bites'],₹200,['Fast Food'],3.4,19
C Scheme,Samrat Restaurant,"C 39, Lajpat Marg, C Scheme, Jaipur",['Quick Bites'],₹250,"['South Indian', 'Street Food', 'Fast Food']",2.7,22
C Scheme,Banna's,"E 141, Near Style And Scissors, Sardar Patel Marg, C Scheme, Jaipur",['Café'],₹450,['Cafe'],3.3,16
