,0,1
0,26.9122583,75.8005896
1,26.9058994,75.8020779
2,26.9142461,75.8049298
3,26.9150431,75.8099258
4,26.910926,75.80567900000001
5,26.9108494,75.7986025
6,26.905601,75.811182
7,26.9152097,75.8098025
8,26.914023,75.804724
9,26.9053111,75.7945201
10,26.909978,75.797051
11,26.9119465,75.7971769
12,26.9110687,75.7953309
13,26.9075027,75.8013533
14,26.9110032,75.8018108
15,26.9139503,75.80645419999999
16,26.8981053,75.8081498
17,26.9139169,75.8059111
18,26.9154612,75.80643370000001
19,26.9086637,75.7997754
20,26.9156335,75.8088003
21,26.9139983,75.8059202
22,26.9026027,75.7987919
23,26.9071534,75.79769139999999
24,26.9050356,75.7940692
25,26.908143,75.81260999999999
26,26.9108651,75.8082682
27,26.9052491,75.79572209999999
28,26.9074625,75.7954851
29,26.909235,75.80198469999999
30,26.909235,75.80198469999999
31,26.9112953,75.80240789999999
32,26.9063027,75.7964126
33,26.9093224,75.80240789999999
34,26.9132502,75.8029269
35,26.9132999,75.7979443
36,26.9127022,75.80297139999999
37,26.9048921,75.7942036
38,26.9079609,75.79921639999999
39,26.9109954,75.7953067
40,26.9158476,75.8067252
41,26.9053427,75.79433639999999
42,26.9075921,75.8014139
43,26.9093762,75.8100699
44,26.8981309,75.80823989999999
45,26.9067258,75.7988391
46,26.9139625,75.80580549999999
47,26.909691,75.797771
48,26.910146,75.7907309
49,26.9056209,75.7944139
50,26.9145857,75.8048668
51,26.9100931,75.79726409999999
52,26.9094277,75.808151
53,26.9141172,75.8047514
54,26.89836,75.80845500000001
55,26.9058702,75.7945119
56,26.9123513,75.8006077
57,26.9093604,75.8101883
58,26.9158353,75.8063756
59,26.9098408,75.8075891
60,26.8974602,75.82267829999999
61,26.9072024,75.7974689
62,26.9026835,75.7985877
63,26.9144501,75.80538729999999
64,26.9093705,75.8101444
65,26.9103851,75.7949883
66,26.9140867,75.8066333
67,26.9094782,75.8025021
68,26.9099024,75.8124713
69,26.9013308,75.7970227
70,26.9143122,75.8082551
71,26.9142593,75.8069021
72,26.89836,75.808433
73,26.9040848,75.7970953
74,26.9063811,75.7963704
75,26.9076255,75.7988088
76,26.9151415,75.8039689
77,26.9110612,75.79522159999999
78,26.9091522,75.8102143
79,26.9073947,75.7954728
80,26.906737,75.7962
81,26.911092,75.802024
82,26.908639,75.791118
83,26.9105566,75.8073376
84,26.9143625,75.8049942
85,26.9094966,75.7984996
86,26.9045339,75.7938623
87,26.9154985,75.81016389999999
88,26.9033294,75.7928005
89,26.9095885,75.8027499
90,26.9132153,75.80295799999999
91,0.0,0.0
92,26.907371,75.795551
93,26.902586,75.79434599999999
94,26.9132182,75.8028157
95,26.8519814,75.81170209999999
