Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes,Latitude,Longitude
Bais Godam,Nibs Cafe and Chocolataria,"B 17, Sharma Colony Extension, 22 Godam, Bais Godam, Jaipur","['Café', 'Dessert Parlor']",₹900,"['Cafe', 'Continental', 'Mexican', 'Italian', 'Desserts', 'Beverages']",3.6,738,26.9156525,75.794944
Bais Godam,Pizza Hut,"Plot G-27, Crystal Palm Mall, Godown Circle, Bais Godam, Jaipur",['Casual Dining'],₹600,"['Pizza', 'Desserts', 'Fast Food']",3.6,529,26.9033692,75.79256869999999
Bais Godam,Sandwich Bay,"20A, Sudarshanpura Industrial Area, Near Flyover, Bais Godam, Jaipur",['Quick Bites'],₹400,['Healthy Food'],4.2,317,26.9013995,75.7903676
Bais Godam,Ghungroo Seth Vada Pav Company,"B 17, Sharma Colony Extension, 22 Godam, Bais Godam, Jaipur",[],₹150,['Street Food'],2.3,353,26.9033185,75.79273719999999
Bais Godam,Rajwada - Virasat Heritage Restaurant,"Virasat Heritage Restaurant, Plot B, Sahkar Marg, Near Bais Godam, Jaipur",['Casual Dining'],₹800,"['South Indian', 'North Indian', 'Chinese', 'Rajasthani']",3.9,334,26.8995552,75.7929535
Bais Godam,Mafix Cakes & Bakes,"F 52, Sudarshanpaura Industrial Area, Road 8, Bais Godam, Jaipur","['Bakery', 'Quick Bites']",₹400,"['Bakery', 'Desserts', 'Fast Food', 'Pizza']",3.2,372,26.9021445,75.7855603
Bais Godam,Shyam Darbaar,"C-17, Swej Farm Road, Near Mangal Mach Marriage Garden, Nandpuri Market 22, Bais Godam, Jaipur",['Casual Dining'],₹600,"['North Indian', 'South Indian', 'Chinese', 'Street Food', 'Continental']",3.5,359,26.8945611,75.7844476
Bais Godam,Zodiac - Fortune Select Metropolitan,"Fortune Select Metropolitan by ITC, Bais Godam Circle, Bais Godam, Jaipur",['Fine Dining'],"₹1,700","['North Indian', 'Chinese', 'Rajasthani', 'Continental']",3.6,135,26.9025631,75.79367789999999
Bais Godam,Sultanat Lounge -Virasat Heritage Restaurant,"Plot B, Sahkar Marg, Bais Godam, Jaipur",['Fine Dining'],"₹2,100","['North Indian', 'Mughlai', 'Chinese']",3.5,55,26.8908319,75.79433399999999
Bais Godam,Cafe Coffee Day,"Geejgarh Vihar, Hawa Sarak Road, Near Ginger hotel Hawa Sadak Civil Lines, Bais Godam, Jaipur",['Café'],₹700,"['Cafe', 'Beverages', 'Sandwich', 'Fast Food', 'Desserts']",3.6,96,26.9015539,75.7847704
Bais Godam,Yangse,"Food Court, 3rd Floor, MGF Metropolitan Mall, Bais Godam, Jaipur",['Food Court'],₹400,['Chinese'],3.4,72,26.9026088,75.7937902
Bais Godam,K.G.F - King Of Great Food,"Shop 6-7, Sharma Colony Extansion, Near Mangal Manch, Swej Farm Road, Bais Godam, Jaipur",['Quick Bites'],₹400,"['Fast Food', 'Chinese', 'North Indian']",3.7,63,26.895119,75.788068
Bais Godam,Bajot-Virasat Heritage Restaurant,"Virasat Heritage Restaurant, Plot B, Sahkar Marg, Near, Bais Godam, Jaipur",['Casual Dining'],"₹1,200","['Rajasthani', 'North Indian']",2.5,64,26.8995552,75.7929535
Bais Godam,The Bakery - Holiday Inn Jaipur,"Holiday Inn Jaipur City Centre, 1, Sardar Patel Marg, Near Nehru Sahkar Bhawan, Bais Godam, Jaipur",['Bakery'],₹500,"['Bakery', 'Desserts']",3.5,61,26.90294,75.792486
Bais Godam,Jodhpur Misthan Bhandar,"Nand Plaza, Hawa Sadak, Bais Godam, Jaipur",['Sweet Shop'],₹100,"['Mithai', 'Street Food']",3.5,78,26.9011715,75.783327
Bais Godam,Mummy's Kitchen,"Food Court, 3rd Floor, MGF Metropolitan Mall, Bais Godam, Jaipur",['Food Court'],₹350,"['North Indian', 'Street Food']",2.4,41,26.9026088,75.7937902
Bais Godam,Nostradamus - Fortune Select Metropolitan,"Fortune Select Metropolitan by ITC, Bais Godam Circle, Bais Godam, Jaipur",['Bar'],"₹1,400",['Finger Food'],3.4,45,26.9026808,75.7936196
Bais Godam,Swarn Mahal-Virasat Heritage Restaurant,"Virasat Heritage Restaurant, Plot B, Sahkar Marg, Near, Bais Godam, Jaipur",['Fine Dining'],"₹3,000",['Rajasthani'],3.5,42,26.8995552,75.7929535
Bais Godam,Chicken Darbar,"Main Road, Sharma Colony, Bais Godam Industrial Area, Bais Godam, Jaipur",['Quick Bites'],₹450,"['North Indian', 'Chinese']",2.9,70,26.8960185,75.7885489
Bais Godam,Vij's Barbeque,"Food Court, 3rd Floor, MGF Metropolitan Mall, Bais Godam, Jaipur",['Quick Bites'],₹600,"['North Indian', 'Fast Food', 'BBQ']",3.7,39,26.9026088,75.7937902
Bais Godam,Chokhi Handi,"Khasra 64, Ground Floor, Eden Heights, Geejgarh Vihar Colony, Bais Godam, Jaipur",['Quick Bites'],₹300,['North Indian'],3.5,41,26.7674854,75.8362399
Bais Godam,Vinegar,"Food Court, 3rd Floor, MGF Metropolitan Mall, Bais Godam, Jaipur","['Food Court', 'Quick Bites']",₹450,"['Fast Food', 'Italian', 'Continental']",4.0,34,26.9026088,75.7937902
Bais Godam,Sheesh Mahal-Virasat Heritage Restaurant,"Virasat Heritage Restaurant, Plot B, Sahkar Marg, Near, Bais Godam, Jaipur",['Fine Dining'],"₹6,000",['Rajasthani'],3.4,34,26.8995552,75.7929535
Bais Godam,Vadapav Mistri,"F 55, Jamuna Lal Bajaj Marg, Bais Godam, Jaipur",[],₹200,"['Street Food', 'Fast Food']",4.0,36,26.906737,75.7962
Bais Godam,Dakshin,"Food Court, 3rd Floor, MGF Metropolitan Mall, Bais Godam, Jaipur",['Food Court'],₹300,['South Indian'],3.7,37,26.9023412,75.79401279999999
Bais Godam,Sunrise Bakers & Confectioners,"Hawa Sadak, Bais Godam, Jaipur","['Bakery', 'Quick Bites']",₹200,"['Bakery', 'Fast Food']",2.8,31,26.9022596,75.7856257
Bais Godam,Hare Krishna Hare Rama,"10, 1st Imli Phatak, Janakpuri, Bais Godam, Jaipur",['Dhaba'],₹400,"['North Indian', 'Chinese', 'South Indian']",3.7,44,26.8902725,75.79697039999999
